GRBID	z	logTa_best	logTa_min	logTa_max	logFa	logFa_min	logFa_max	Photonindex_plateau	Photonerror_max	Photonerror_min	Alpha_best	Alpha_min	Alpha_max	Tt	Tfinal	kplateau	dk	logTa_rescaled	logTaErr	logLumTa	logLumTaErr	Gold1	Gold2	EnergyFlux	EnergyFluxerr	phinprompt	phinprompterror	Epeak	Epeakerror	Kprompt	KPrompterror	logLpeak	logLpeakerr	Environment	Functionalform	Eiso	Eisoerror	DistanceLum	GRBID_1	Theta	ThetaErr
070714B	0.92	3.22974	3.13514	3.32434	-10.7429	-10.8422	-10.6435	1.93	0.15	0.14	1.64623	1.5378	1.75465	2.47	5	0.955364092	0.054766769	2.946438771	0.0946	46.86580113	0.102421881	K-SEE	K-SEE	2.71e-7	1.04e-8	-0.882076	0.063144545	-	-	0.482270566	0.0198651	50.74486294	0.0245	ISM	PL	50.7448	0.0245	28.2646	070714B	15.053608751412751	0.1108166858850007
070721B	3.626	3.94739	3.88071	4.08239	-10.5089	-10.8304	-10.1008	1.52	0.12	0.12	2.5054	2.42127	2.60415	3.6	5.2	0.479403608	0.053403559	3.282184372	0.10084	48.25732136	0.367993924	T	T	1.57e-7	1.52e-8	-0.834882	0.16709	-	-	0.167863761	0.042961458	51.50605705	0.1188	N/A	PL	51.506	0.1188	28.9931	070721B	11.973637415878759	0.4273500733803274
070810A	2.17	3.36583	3.29396	3.4377	-10.7777	-10.8395	-10.716	2.02	0.34	0.32	1.36994	1.29203	1.44786	2	5	1.023342911	0.236132608	2.864770738	0.07187	47.77971946	0.117709294	S	S	1.25e-7	9.47e-9	-1.81239	0.114027273	-	-	0.805371527	0.105952154	51.55166438	0.0659	Wind	PL	51.5516	0.0659	28.7241	070810A	11.81070366306135	0.23376145674125745
080319B	0.937	5.367999124	5.28037267	5.455625577	-12.15166808	-12.24944753	-12.05388862	1.73	0.19	0.19	1.422509787	1.347369882	1.497649692	4.8	6.5	0.836517445	0.063685175	5.080869503	0.087626453	45.41897517	0.103218269	XRF-C	XRF-C	2.37e-6	2.63e-8	-0.98922	0.020663636	-	-	0.512595893	0.007002862	51.73181345	0.0077	Wind	PL	51.7318	0.0077	28.2745	080319B	11.188644559176392	0.02571081353404974
080319C	1.95	3.19029	3.15122	3.24548	-8.91652	-8.96407	-8.86399	2.94	2.350765833	1.950775487	1.45203	1.4267	1.48378	1.4	6	2.764602491	3.898449447	2.720467984	0.04713	49.95897227	0.614452739	L	L-G	4.65e-7	1.98e-8	-1.06733	0.065181818	-	-	0.364595329	0.025709085	51.66308067	0.0358	ISM	PL	51.6631	0.0358	28.6673	080319C	11.42199171892862	0.1227803807210707
080905B	2.374	3.678206148	3.63938066	3.717031637	-10.11185797	-10.14422254	-10.0794934	1.375	0.165604952	0.154434452	1.369462258	1.336160506	1.402764009	2.2	6	0.467637496	0.055152825	3.15006107	0.038825488	48.20051491	0.060588713	SEE	SEE	1.26e-7	1.3e-8	-1.43876	0.176021212	-	-	0.50534021	0.10817273	51.44765737	0.1032	S	PL	51.4476	0.1032	28.7716	080905B	12.185582835121508	0.37770602680607357
081028A	3.038	4.75426	4.7306	4.7911	-11.3994	-11.4547	-11.3403	1.945	0.072	0.071	2.20023	2.15344	2.26287	3.7	6	0.92610633	0.056013207	4.148093685	0.03025	47.46876771	0.06294288	U	U	4.09e-8	6.36e-9	-1.63905	0.233263636	-	-	0.604232761	0.196724657	51.29436116	0.1567	ISM	PL	51.2943	0.1567	28.9011	081028A	12.76009405400582	0.6009721216147573
081203A	2.1	4.02089	3.98157	4.06021	-10.9244	-10.9813	-10.8674	1.915	0.455	0.39	1.86904	1.80465	1.93344	3	6	0.908310336	0.263144326	3.529528306	0.03932	47.54645407	0.13810708	L	L	2.46e-7	1.14e-8	-1.17416	0.071345455	-	-	0.392838332	0.031710067	51.49777372	0.0404	Wind	PL	51.4978	0.0404	28.7067	081203A	12.003471913841215	0.14578640881400998
090418A	1.608	3.528136567	3.497377547	3.558895588	-10.04734554	-10.07600494	-10.01868613	1.98	0.148660687	0.141598023	1.529096669	1.486942155	1.571251182	2.1	5.6	0.981010935	0.082713269	3.11182898	0.03075902	48.17233996	0.04649929	L-G-P	L-G	1.58e-7	1.66e-8	-1.29276	0.167690909	-	-	0.507657284	0.081603757	51.13226217	0.0834	Wind	PL	51.1322	0.0834	28.5644	090418A	13.397343921628094	0.3361282326609511
090529A	2.625	4.472757799	4.253752459	4.691763138	-12.1873998	-12.30287914	-12.07192046	1.64	0.5	0.25	0.8815438	0.767868578	0.995219022	3.3	6	0.628997785	0.184103976	3.913449788	0.219005339	46.35962567	0.171737641	L	L	4.91e-8	1.11e-8	-1.66761	0.331466667	-	-	0.651765863	0.278226312	51.253228	0.21	ISM	PL	51.2532	0.21	28.8246	090529A	12.918844657839784	0.8155830626435612
