time	timeerr1	timeerr2	flux	fluxerr1	fluxerr2
23.2210000050068	0.02	-0.02	6.72881022147532e-08	5.18523013810511e-09	-5.18523013810511e-09
23.2610000264645	0.02	-0.02	2.88173405868934e-07	1.98530457885225e-08	-1.98530457885225e-08
23.3010000181198	0.02	-0.02	1.54913664200881e-07	1.1007690036309e-08	-1.1007690036309e-08
23.3410000097752	0.02	-0.02	1.31699746100046e-07	9.97275648412842e-09	-9.97275648412842e-09
23.3810000014305	0.02	-0.02	2.23645865365707e-07	1.61677092554943e-08	-1.61677092554943e-08
23.4210000228882	0.02	-0.02	6.89219295507138e-08	4.40678110981464e-09	-4.40678110981464e-09
23.4610000145435	0.02	-0.02	9.47090243686542e-08	6.90584320311738e-09	-6.90584320311738e-09
23.5010000061989	0.02	-0.02	2.90879464351243e-07	2.15376841765488e-08	-2.15376841765488e-08
23.5409999978542	0.02	-0.02	2.3257978113812e-07	1.59524743930577e-08	-1.59524743930577e-08
23.5810000193119	0.02	-0.02	7.25389219383797e-08	4.86119268849513e-09	-4.86119268849513e-09
23.6210000109673	0.02	-0.02	1.08623146392297e-07	7.90603564969735e-09	-7.90603564969735e-09
23.6610000026226	0.02	-0.02	2.33863446039372e-07	1.68027032612154e-08	-1.68027032612154e-08
23.7010000240803	0.02	-0.02	1.31077105039486e-07	1.00954879107843e-08	-1.00954879107843e-08
23.7410000157356	0.02	-0.02	2.08131876503946e-07	1.55893741218711e-08	-1.55893741218711e-08
23.781000007391	0.02	-0.02	8.3976312251755e-07	6.20236087919932e-08	-6.20236087919932e-08
23.8209999990463	0.02	-0.02	6.61254193463943e-07	4.78591917303221e-08	-4.78591917303221e-08
23.861000020504	0.02	-0.02	1.48594293110124e-07	1.0920141039964e-08	-1.0920141039964e-08
23.9010000121593	0.02	-0.02	8.41744644353934e-08	6.51079561270094e-09	-6.51079561270094e-09
23.9410000038147	0.02	-0.02	2.5759246691265e-07	1.58799824820549e-08	-1.58799824820549e-08
23.9810000252724	0.02	-0.02	6.85345429641704e-08	4.73183321815087e-09	-4.73183321815087e-09
24.0210000169277	0.02	-0.02	1.73428518017873e-07	1.11730567939718e-08	-1.11730567939718e-08
24.0610000085831	0.02	-0.02	1.44198636233832e-07	9.39836685434625e-09	-9.39836685434625e-09
24.1010000002384	0.02	-0.02	1.08381109984092e-07	7.43511862505665e-09	-7.43511862505665e-09
24.1410000216961	0.02	-0.02	6.80387885539518e-07	4.64155925544636e-08	-4.64155925544636e-08
24.1810000133514	0.02	-0.02	1.58450811401103e-07	1.09600675721737e-08	-1.09600675721737e-08
24.2210000050068	0.02	-0.02	2.16247035099984e-07	1.35223397251424e-08	-1.35223397251424e-08
24.2610000264645	0.02	-0.02	4.67753951559188e-07	3.49198346961178e-08	-3.49198346961178e-08
24.3010000181198	0.02	-0.02	1.00948332423503e-07	6.65202886222364e-09	-6.65202886222364e-09
24.3410000097752	0.02	-0.02	5.73137404510095e-08	3.55483022123114e-09	-3.55483022123114e-09
24.3810000014305	0.02	-0.02	2.90488524239507e-07	1.81329617906797e-08	-1.81329617906797e-08
24.4210000228882	0.02	-0.02	1.02231533221224e-07	6.53134779652936e-09	-6.53134779652936e-09
24.4610000145435	0.02	-0.02	1.80821671170056e-07	1.27275506879824e-08	-1.27275506879824e-08
24.5010000061989	0.02	-0.02	6.18623315654708e-07	3.94001495592117e-08	-3.94001495592117e-08
24.5409999978542	0.02	-0.02	9.09136175888335e-08	6.19261007134762e-09	-6.19261007134762e-09
24.5810000193119	0.02	-0.02	7.57531196417575e-08	4.70525828368668e-09	-4.70525828368668e-09
24.6210000109673	0.02	-0.02	1.31694735702467e-07	8.00421237785894e-09	-8.00421237785894e-09
24.6610000026226	0.02	-0.02	8.05746250751327e-08	4.95790540504935e-09	-4.95790540504935e-09
24.7010000240803	0.02	-0.02	1.54226578844412e-07	9.57097353678338e-09	-9.57097353678338e-09
24.7410000157356	0.02	-0.02	3.85888922733948e-07	2.24117391711626e-08	-2.24117391711626e-08
24.781000007391	0.02	-0.02	7.38983921036478e-08	4.3988462606194e-09	-4.3988462606194e-09
24.8209999990463	0.02	-0.02	2.7653235190576e-07	1.50924690466854e-08	-1.50924690466854e-08
24.861000020504	0.02	-0.02	2.21106982069329e-07	1.28110713142239e-08	-1.28110713142239e-08
24.9010000121593	0.02	-0.02	2.25718440557839e-07	1.24588259247438e-08	-1.24588259247438e-08
24.9410000038147	0.02	-0.02	4.07440146658774e-07	2.19402510959602e-08	-2.19402510959602e-08
24.9810000252724	0.02	-0.02	1.58954823374927e-07	9.54748074063501e-09	-9.54748074063501e-09
25.0210000169277	0.02	-0.02	8.35171342760284e-08	5.03771896000192e-09	-5.03771896000192e-09
25.0610000085831	0.02	-0.02	4.43291823857709e-07	2.45204873416408e-08	-2.45204873416408e-08
25.1010000002384	0.02	-0.02	1.44170169417541e-07	9.22087753326428e-09	-9.22087753326428e-09
25.1410000216961	0.02	-0.02	1.68187670241557e-07	1.13788301184957e-08	-1.13788301184957e-08
25.1810000133514	0.02	-0.02	5.879368507377e-07	3.39330191524725e-08	-3.39330191524725e-08
25.2210000050068	0.02	-0.02	4.30998171899625e-07	2.57511962407974e-08	-2.57511962407974e-08
25.2610000264645	0.02	-0.02	1.86795498236461e-07	1.23474520574059e-08	-1.23474520574059e-08
25.3010000181198	0.02	-0.02	2.15383064882689e-07	1.39973084549904e-08	-1.39973084549904e-08
25.3410000097752	0.02	-0.02	2.17279351177296e-07	1.37007823226984e-08	-1.37007823226984e-08
25.3810000014305	0.02	-0.02	1.74991569936456e-07	1.11870105583447e-08	-1.11870105583447e-08
25.4210000228882	0.02	-0.02	5.39061427364111e-07	3.44595746814613e-08	-3.44595746814613e-08
25.4610000145435	0.02	-0.02	4.9963069040665e-07	3.36876637227754e-08	-3.36876637227754e-08
25.5010000061989	0.02	-0.02	1.62865610451742e-07	1.0318227590595e-08	-1.0318227590595e-08
25.5409999978542	0.02	-0.02	2.35817995198866e-07	1.54965307841963e-08	-1.54965307841963e-08
25.5810000193119	0.02	-0.02	1.11301843652614e-07	7.10104857498e-09	-7.10104857498e-09
25.6210000109673	0.02	-0.02	6.758214020521e-07	5.32712553897593e-08	-5.32712553897593e-08
25.6610000026226	0.02	-0.02	6.76692473900269e-07	4.45313017520617e-08	-4.45313017520617e-08
25.7010000240803	0.02	-0.02	1.96509460194088e-07	1.41030535057328e-08	-1.41030535057328e-08
25.7410000157356	0.02	-0.02	1.71793910934679e-07	1.30339620570268e-08	-1.30339620570268e-08
25.781000007391	0.02	-0.02	7.81052345055696e-07	5.27823864687979e-08	-5.27823864687979e-08
25.8209999990463	0.02	-0.02	4.21495147713156e-07	2.97375411415273e-08	-2.97375411415273e-08
25.861000020504	0.02	-0.02	5.45979279561045e-07	3.60063542715577e-08	-3.60063542715577e-08
25.9010000121593	0.02	-0.02	3.41997565988704e-07	2.67440988685032e-08	-2.67440988685032e-08
25.9410000038147	0.02	-0.02	2.43556752375848e-07	1.8652915572359e-08	-1.8652915572359e-08
25.9810000252724	0.02	-0.02	3.62114482273127e-07	2.67314882670006e-08	-2.67314882670006e-08
26.0210000169277	0.02	-0.02	5.17753368039369e-07	3.34200088456093e-08	-3.34200088456093e-08
26.0610000085831	0.02	-0.02	1.22045707109177e-07	8.80173717287939e-09	-8.80173717287939e-09
26.1010000002384	0.02	-0.02	4.8714395658202e-07	3.27929554248938e-08	-3.27929554248938e-08
26.1410000216961	0.02	-0.02	3.01856267800059e-07	1.91109024679346e-08	-1.91109024679346e-08
26.1810000133514	0.02	-0.02	1.5137174907657e-06	1.02257291445842e-07	-1.02257291445842e-07
26.2210000050068	0.02	-0.02	2.16168174505644e-07	1.39072789547815e-08	-1.39072789547815e-08
26.2610000264645	0.02	-0.02	6.48353666401444e-07	4.16111284413631e-08	-4.16111284413631e-08
26.3010000181198	0.02	-0.02	3.69130390231201e-07	2.29521154791732e-08	-2.29521154791732e-08
26.3410000097752	0.02	-0.02	3.01622345004408e-07	1.94636016084385e-08	-1.94636016084385e-08
26.3810000014305	0.02	-0.02	2.31473708019226e-07	1.61436110441258e-08	-1.61436110441258e-08
26.4210000228882	0.02	-0.02	6.27075183330279e-07	4.37676597230873e-08	-4.37676597230873e-08
26.4610000145435	0.02	-0.02	1.36306691063171e-07	9.74692237773569e-09	-9.74692237773569e-09
26.5010000061989	0.02	-0.02	9.24923579059998e-07	6.45327551356572e-08	-6.45327551356572e-08
26.5409999978542	0.02	-0.02	6.17268148178528e-07	3.98182114272313e-08	-3.98182114272313e-08
26.5810000193119	0.02	-0.02	3.70608816800135e-07	2.42700752185262e-08	-2.42700752185262e-08
26.6210000109673	0.02	-0.02	4.40743383433974e-07	2.73535357563657e-08	-2.73535357563657e-08
26.6610000026226	0.02	-0.02	4.51921345687692e-07	3.13630458893889e-08	-3.13630458893889e-08
26.7010000240803	0.02	-0.02	5.35234394680394e-07	3.30332721384394e-08	-3.30332721384394e-08
26.7410000157356	0.02	-0.02	4.72248481125398e-07	2.84941662611836e-08	-2.84941662611836e-08
26.781000007391	0.02	-0.02	2.02389431896069e-06	1.41152047670436e-07	-1.41152047670436e-07
26.8209999990463	0.02	-0.02	1.30432015607129e-07	9.28017316535947e-09	-9.28017316535947e-09
26.861000020504	0.02	-0.02	1.47759303075006e-06	9.59847823286229e-08	-9.59847823286229e-08
26.9010000121593	0.02	-0.02	9.01791080811855e-07	6.12144967819462e-08	-6.12144967819462e-08
26.9410000038147	0.02	-0.02	3.37847643290343e-07	2.4260982825553e-08	-2.4260982825553e-08
26.9810000252724	0.02	-0.02	1.06000878651923e-06	7.12092165800016e-08	-7.12092165800016e-08
27.0210000169277	0.02	-0.02	2.25857082344802e-07	1.49644407150562e-08	-1.49644407150562e-08
27.0610000085831	0.02	-0.02	9.87477326773031e-08	7.17893900533169e-09	-7.17893900533169e-09
27.1010000002384	0.02	-0.02	1.83032796291559e-07	1.20919379638738e-08	-1.20919379638738e-08
27.1410000216961	0.02	-0.02	6.56693155991224e-07	4.2461353689346e-08	-4.2461353689346e-08
27.1810000133514	0.02	-0.02	1.96822806605324e-07	1.31803554297643e-08	-1.31803554297643e-08
27.2210000050068	0.02	-0.02	8.48351710076331e-07	5.58924773323632e-08	-5.58924773323632e-08
27.2610000264645	0.02	-0.02	7.50693614877261e-07	4.75379867807159e-08	-4.75379867807159e-08
27.3010000181198	0.02	-0.02	5.85174019289662e-07	3.5980564369847e-08	-3.5980564369847e-08
27.3410000097752	0.02	-0.02	8.36012826870023e-07	5.75120484756204e-08	-5.75120484756204e-08
27.3810000014305	0.02	-0.02	3.88713333640677e-07	2.51784797102126e-08	-2.51784797102126e-08
27.4210000228882	0.02	-0.02	2.06767584909776e-06	1.31119828700529e-07	-1.31119828700529e-07
27.4610000145435	0.02	-0.02	7.03102343945711e-07	4.61449968120836e-08	-4.61449968120836e-08
27.5010000061989	0.02	-0.02	1.58563362717433e-06	1.01907040804125e-07	-1.01907040804125e-07
27.5409999978542	0.02	-0.02	6.05224226691626e-07	4.18218718093059e-08	-4.18218718093059e-08
27.5810000193119	0.02	-0.02	6.61779119039438e-07	4.17703383782499e-08	-4.17703383782499e-08
27.6210000109673	0.02	-0.02	6.97795465259469e-07	4.40066355772051e-08	-4.40066355772051e-08
27.6610000026226	0.02	-0.02	4.55236129055566e-07	2.79824053717692e-08	-2.79824053717692e-08
27.7010000240803	0.02	-0.02	4.77298716127215e-07	2.78537045578135e-08	-2.78537045578135e-08
27.7410000157356	0.02	-0.02	4.17805649838397e-07	2.73828540145866e-08	-2.73828540145866e-08
27.781000007391	0.02	-0.02	4.60772317255583e-07	2.74302525615448e-08	-2.74302525615448e-08
27.8209999990463	0.02	-0.02	1.91443320348579e-07	1.24677766154608e-08	-1.24677766154608e-08
27.861000020504	0.02	-0.02	1.24265872791159e-06	7.87662181657942e-08	-7.87662181657942e-08
27.9010000121593	0.02	-0.02	1.90560702914127e-07	1.18186045861781e-08	-1.18186045861781e-08
27.9410000038147	0.02	-0.02	5.37328607092192e-07	3.38573090416184e-08	-3.38573090416184e-08
27.9810000252724	0.02	-0.02	3.82508224950194e-07	2.38642712250127e-08	-2.38642712250127e-08
